evolution_method,select_method,per_mutation,computer,player,generation,win_per
0,0,0,1,0,0,18
0,0,0,1,0,1,17
0,0,0,1,0,2,17
0,0,0,1,0,3,17
0,0,0,1,0,4,17
0,0,0,1,0,5,18
0,0,0,1,0,6,17
0,0,0,1,0,7,19
0,0,0,1,0,8,17
0,0,0,1,0,9,20
0,0,0,1,0,10,19
0,0,0,1,0,11,18
0,0,0,1,0,12,23
0,0,0,1,0,13,20
0,0,0,1,0,14,22
0,0,0,1,0,15,21
0,0,0,1,0,16,22
0,0,0,1,0,17,23
0,0,0,1,0,18,25
0,0,0,1,0,19,20
0,0,0,1,0,20,26
0,0,0,1,0,21,29
0,0,0,1,0,22,28
0,0,0,1,0,23,25
0,0,0,1,0,24,30
0,0,0,1,0,25,31
0,0,0,1,0,26,27
0,0,0,1,0,27,28
0,0,0,1,0,28,29
0,0,0,1,0,29,32
0,0,0,1,0,30,30
0,0,0,1,0,31,29
0,0,0,1,0,32,29
0,0,0,1,0,33,31
0,0,0,1,0,34,30
0,0,0,1,0,35,32
0,0,0,1,0,36,31
0,0,0,1,0,37,31
0,0,0,1,0,38,30
0,0,0,1,0,39,32
0,0,0,1,0,40,31
0,0,0,1,0,41,32
0,0,0,1,0,42,32
0,0,0,1,0,43,32
0,0,0,1,0,44,32
0,0,0,1,0,45,32
0,0,0,1,0,46,32
0,0,0,1,0,47,32
0,0,0,1,0,48,32
0,0,0,1,0,49,32
0,0,0,1,0,50,32
0,0,0,1,0,51,32
0,0,0,1,0,52,32
0,0,0,1,0,53,32
0,0,0,1,0,54,32
0,0,0,1,0,55,32
0,0,0,1,0,56,32
0,0,0,1,0,57,32
0,0,0,1,0,58,32
0,0,0,1,0,59,32
0,0,0,1,0,60,32
0,0,0,1,0,61,32
0,0,0,1,0,62,32
0,0,0,1,0,63,32
0,0,0,1,0,64,32
0,0,0,1,0,65,32
0,0,0,1,0,66,32
0,0,0,1,0,67,32
0,0,0,1,0,68,32
0,0,0,1,0,69,32
0,0,0,1,0,70,32
0,0,0,1,0,71,32
0,0,0,1,0,72,32
0,0,0,1,0,73,32
0,0,0,1,0,74,32
0,0,0,1,0,75,32
0,0,0,1,0,76,32
0,0,0,1,0,77,32
0,0,0,1,0,78,32
0,0,0,1,0,79,32
0,0,0,1,0,80,32
0,0,0,1,0,81,32
0,0,0,1,0,82,32
0,0,0,1,0,83,32
0,0,0,1,0,84,32
0,0,0,1,0,85,32
0,0,0,1,0,86,32
0,0,0,1,0,87,32
0,0,0,1,0,88,32
0,0,0,1,0,89,32
0,0,0,1,0,90,32
0,0,0,1,0,91,32
0,0,0,1,0,92,32
0,0,0,1,0,93,32
0,0,0,1,0,94,32
0,0,0,1,0,95,32
0,0,0,1,0,96,32
0,0,0,1,0,97,32
0,0,0,1,0,98,32
0,0,0,1,0,99,32
0,0,0,1,1,0,0
0,0,0,1,1,1,0
0,0,0,1,1,2,0
0,0,0,1,1,3,0
0,0,0,1,1,4,0
0,0,0,1,1,5,0
0,0,0,1,1,6,0
0,0,0,1,1,7,0
0,0,0,1,1,8,0
0,0,0,1,1,9,0
0,0,0,1,1,10,0
0,0,0,1,1,11,0
0,0,0,1,1,12,0
0,0,0,1,1,13,0
