black_method,white_method,black_score,white_score,black_read_goal,white_read_goal,seed
random,random,39,25,1,2,97
random,random,33,31,1,2,98
random,random,54,10,1,2,99
random,nHand,40,24,1,1,0
random,nHand,35,29,1,1,1
random,nHand,0,18,1,1,2
random,nHand,21,43,1,1,3
random,nHand,23,41,1,1,4
random,nHand,38,26,1,1,5
random,nHand,27,37,1,1,6
random,nHand,23,41,1,1,7
random,nHand,31,33,1,1,8
random,nHand,21,43,1,1,9
random,nHand,53,11,1,1,10
random,nHand,23,41,1,1,11
random,nHand,29,35,1,1,12
random,nHand,18,46,1,1,13
random,nHand,19,45,1,1,14
random,nHand,24,40,1,1,15
random,nHand,37,27,1,1,16
random,nHand,38,26,1,1,17
random,nHand,30,34,1,1,18
random,nHand,15,49,1,1,19
random,nHand,46,18,1,1,20
random,nHand,14,50,1,1,21
random,nHand,17,47,1,1,22
random,nHand,25,39,1,1,23
random,nHand,41,23,1,1,24
random,nHand,41,23,1,1,25
random,nHand,22,42,1,1,26
random,nHand,39,25,1,1,27
random,nHand,27,37,1,1,28
random,nHand,25,39,1,1,29
random,nHand,35,29,1,1,30
random,nHand,22,42,1,1,31
random,nHand,38,26,1,1,32
random,nHand,27,37,1,1,33
random,nHand,42,22,1,1,34
random,nHand,19,45,1,1,35
random,nHand,25,39,1,1,36
random,nHand,26,38,1,1,37
random,nHand,14,50,1,1,38
random,nHand,22,42,1,1,39
random,nHand,21,43,1,1,40
random,nHand,34,30,1,1,41
random,nHand,29,35,1,1,42
random,nHand,37,27,1,1,43
random,nHand,0,36,1,1,44
random,nHand,46,18,1,1,45
random,nHand,32,32,1,1,46
random,nHand,39,25,1,1,47
random,nHand,34,30,1,1,48
random,nHand,27,37,1,1,49
random,nHand,36,28,1,1,50
random,nHand,28,36,1,1,51
random,nHand,18,46,1,1,52
random,nHand,29,35,1,1,53
random,nHand,16,48,1,1,54
random,nHand,16,48,1,1,55
random,nHand,0,16,1,1,56
random,nHand,36,28,1,1,57
random,nHand,15,49,1,1,58
random,nHand,38,26,1,1,59
random,nHand,31,33,1,1,60
random,nHand,21,43,1,1,61
random,nHand,45,19,1,1,62
random,nHand,21,43,1,1,63
random,nHand,45,19,1,1,64
random,nHand,14,49,1,1,65
random,nHand,39,25,1,1,66
random,nHand,33,31,1,1,67
random,nHand,33,31,1,1,68
random,nHand,43,21,1,1,69
random,nHand,29,35,1,1,70
random,nHand,19,45,1,1,71
random,nHand,38,26,1,1,72
random,nHand,46,18,1,1,73
random,nHand,19,45,1,1,74
random,nHand,21,43,1,1,75
random,nHand,34,30,1,1,76
random,nHand,38,26,1,1,77
random,nHand,43,21,1,1,78
random,nHand,32,32,1,1,79
random,nHand,32,32,1,1,80
random,nHand,37,27,1,1,81
random,nHand,31,33,1,1,82
random,nHand,41,23,1,1,83
random,nHand,27,37,1,1,84
random,nHand,45,19,1,1,85
random,nHand,30,34,1,1,86
random,nHand,39,25,1,1,87
random,nHand,16,48,1,1,88
random,nHand,17,47,1,1,89
random,nHand,21,43,1,1,90
random,nHand,32,32,1,1,91
random,nHand,20,44,1,1,92
random,nHand,17,47,1,1,93
random,nHand,1,54,1,1,94
random,nHand,45,19,1,1,95
random,nHand,31,33,1,1,96
random,nHand,52,12,1,1,97
random,nHand,17,47,1,1,98
random,nHand,0,26,1,1,99
random,nHand,21,43,1,2,0
random,nHand,31,33,1,2,1
random,nHand,26,38,1,2,2
random,nHand,35,29,1,2,3
random,nHand,16,48,1,2,4
random,nHand,22,42,1,2,5
random,nHand,26,38,1,2,6
random,nHand,18,46,1,2,7
random,nHand,35,29,1,2,8
random,nHand,26,38,1,2,9
random,nHand,47,17,1,2,10
random,nHand,28,36,1,2,11
random,nHand,17,47,1,2,12
random,nHand,23,41,1,2,13
random,nHand,34,30,1,2,14
random,nHand,29,35,1,2,15
random,nHand,22,42,1,2,16
random,nHand,29,35,1,2,17
random,nHand,28,36,1,2,18
random,nHand,17,47,1,2,19
random,nHand,29,35,1,2,20
random,nHand,34,30,1,2,21
random,nHand,39,25,1,2,22
random,nHand,18,46,1,2,23
random,nHand,39,25,1,2,24
random,nHand,29,35,1,2,25
random,nHand,28,36,1,2,26
random,nHand,19,45,1,2,27
random,nHand,25,39,1,2,28
random,nHand,30,34,1,2,29
random,nHand,37,27,1,2,30
random,nHand,29,35,1,2,31
random,nHand,25,39,1,2,32
random,nHand,23,41,1,2,33
random,nHand,19,45,1,2,34
random,nHand,38,26,1,2,35
random,nHand,29,35,1,2,36
random,nHand,23,41,1,2,37
random,nHand,15,49,1,2,38
random,nHand,39,25,1,2,39
random,nHand,38,26,1,2,40
random,nHand,26,38,1,2,41
random,nHand,28,36,1,2,42
random,nHand,18,46,1,2,43
random,nHand,32,32,1,2,44
random,nHand,39,25,1,2,45
random,nHand,45,19,1,2,46
random,nHand,35,29,1,2,47
random,nHand,18,46,1,2,48
random,nHand,31,33,1,2,49
random,nHand,18,46,1,2,50
random,nHand,12,52,1,2,51
random,nHand,34,30,1,2,52
random,nHand,33,31,1,2,53
random,nHand,32,32,1,2,54
random,nHand,21,43,1,2,55
random,nHand,37,27,1,2,56
random,nHand,18,46,1,2,57
random,nHand,25,39,1,2,58
random,nHand,7,56,1,2,59
random,nHand,23,41,1,2,60
random,nHand,37,27,1,2,61
random,nHand,33,31,1,2,62
random,nHand,20,44,1,2,63
random,nHand,26,38,1,2,64
random,nHand,28,36,1,2,65
random,nHand,37,27,1,2,66
random,nHand,7,57,1,2,67
random,nHand,35,29,1,2,68
random,nHand,20,44,1,2,69
random,nHand,19,45,1,2,70
random,nHand,34,30,1,2,71
random,nHand,25,39,1,2,72
random,nHand,25,39,1,2,73
random,nHand,35,29,1,2,74
random,nHand,28,36,1,2,75
random,nHand,44,20,1,2,76
random,nHand,45,19,1,2,77
random,nHand,22,42,1,2,78
random,nHand,26,38,1,2,79
random,nHand,35,29,1,2,80
random,nHand,19,45,1,2,81
random,nHand,27,37,1,2,82
random,nHand,28,36,1,2,83
random,nHand,17,47,1,2,84
random,nHand,10,54,1,2,85
random,nHand,40,24,1,2,86
random,nHand,43,21,1,2,87
random,nHand,20,44,1,2,88
random,nHand,38,26,1,2,89
random,nHand,29,35,1,2,90
random,nHand,42,22,1,2,91
random,nHand,17,47,1,2,92
random,nHand,27,37,1,2,93
random,nHand,29,35,1,2,94
random,nHand,16,48,1,2,95
random,nHand,28,36,1,2,96
random,nHand,36,28,1,2,97
random,nHand,18,46,1,2,98
random,nHand,19,45,1,2,99
random,nHandCustom,19,45,1,1,0
random,nHandCustom,23,41,1,1,1
random,nHandCustom,21,43,1,1,2
random,nHandCustom,16,48,1,1,3
random,nHandCustom,26,38,1,1,4
random,nHandCustom,23,41,1,1,5
random,nHandCustom,19,45,1,1,6
random,nHandCustom,30,34,1,1,7
random,nHandCustom,22,42,1,1,8
random,nHandCustom,17,47,1,1,9
random,nHandCustom,43,21,1,1,10
random,nHandCustom,25,39,1,1,11
random,nHandCustom,20,44,1,1,12
random,nHandCustom,18,46,1,1,13
random,nHandCustom,27,37,1,1,14
random,nHandCustom,8,56,1,1,15
random,nHandCustom,9,55,1,1,16
random,nHandCustom,37,27,1,1,17
random,nHandCustom,35,29,1,1,18
random,nHandCustom,17,47,1,1,19
random,nHandCustom,25,39,1,1,20
random,nHandCustom,42,22,1,1,21
random,nHandCustom,30,34,1,1,22
random,nHandCustom,24,40,1,1,23
random,nHandCustom,22,42,1,1,24
random,nHandCustom,37,27,1,1,25
random,nHandCustom,22,42,1,1,26
random,nHandCustom,11,53,1,1,27
random,nHandCustom,34,30,1,1,28
random,nHandCustom,41,23,1,1,29
random,nHandCustom,26,38,1,1,30
random,nHandCustom,15,49,1,1,31
random,nHandCustom,26,38,1,1,32
random,nHandCustom,24,40,1,1,33
random,nHandCustom,34,30,1,1,34
random,nHandCustom,19,45,1,1,35
random,nHandCustom,23,41,1,1,36
random,nHandCustom,23,41,1,1,37
random,nHandCustom,26,38,1,1,38
random,nHandCustom,27,37,1,1,39
random,nHandCustom,30,34,1,1,40
random,nHandCustom,17,47,1,1,41
random,nHandCustom,23,41,1,1,42
random,nHandCustom,16,48,1,1,43
random,nHandCustom,27,37,1,1,44
random,nHandCustom,53,11,1,1,45
random,nHandCustom,29,35,1,1,46
random,nHandCustom,23,41,1,1,47
random,nHandCustom,14,50,1,1,48
random,nHandCustom,15,49,1,1,49
random,nHandCustom,21,43,1,1,50
random,nHandCustom,27,37,1,1,51
random,nHandCustom,18,46,1,1,52
random,nHandCustom,21,43,1,1,53
random,nHandCustom,32,32,1,1,54
random,nHandCustom,41,23,1,1,55
random,nHandCustom,22,42,1,1,56
random,nHandCustom,9,55,1,1,57
random,nHandCustom,22,42,1,1,58
random,nHandCustom,18,46,1,1,59
random,nHandCustom,21,43,1,1,60
random,nHandCustom,34,30,1,1,61
random,nHandCustom,17,47,1,1,62
random,nHandCustom,25,39,1,1,63
random,nHandCustom,18,46,1,1,64
random,nHandCustom,31,33,1,1,65
random,nHandCustom,18,46,1,1,66
random,nHandCustom,28,36,1,1,67
random,nHandCustom,41,23,1,1,68
random,nHandCustom,22,42,1,1,69
random,nHandCustom,37,27,1,1,70
random,nHandCustom,14,50,1,1,71
random,nHandCustom,18,46,1,1,72
random,nHandCustom,27,37,1,1,73
random,nHandCustom,22,42,1,1,74
random,nHandCustom,30,34,1,1,75
random,nHandCustom,37,27,1,1,76
random,nHandCustom,31,33,1,1,77
random,nHandCustom,17,47,1,1,78
random,nHandCustom,20,44,1,1,79
random,nHandCustom,6,58,1,1,80
random,nHandCustom,29,35,1,1,81
random,nHandCustom,23,41,1,1,82
random,nHandCustom,19,45,1,1,83
random,nHandCustom,24,40,1,1,84
random,nHandCustom,22,42,1,1,85
random,nHandCustom,27,37,1,1,86
random,nHandCustom,17,47,1,1,87
random,nHandCustom,30,34,1,1,88
random,nHandCustom,26,38,1,1,89
random,nHandCustom,16,48,1,1,90
random,nHandCustom,24,40,1,1,91
random,nHandCustom,10,54,1,1,92
random,nHandCustom,33,31,1,1,93
random,nHandCustom,18,46,1,1,94
random,nHandCustom,25,39,1,1,95
random,nHandCustom,23,41,1,1,96
random,nHandCustom,35,29,1,1,97
random,nHandCustom,28,36,1,1,98
random,nHandCustom,22,42,1,1,99
random,nHandCustom,43,21,1,2,0
random,nHandCustom,23,41,1,2,1
random,nHandCustom,25,39,1,2,2
random,nHandCustom,19,45,1,2,3
random,nHandCustom,26,38,1,2,4
random,nHandCustom,15,49,1,2,5
random,nHandCustom,27,37,1,2,6
random,nHandCustom,23,41,1,2,7
random,nHandCustom,19,45,1,2,8
random,nHandCustom,30,34,1,2,9
random,nHandCustom,28,36,1,2,10
random,nHandCustom,28,36,1,2,11
random,nHandCustom,23,41,1,2,12
random,nHandCustom,21,43,1,2,13
random,nHandCustom,27,37,1,2,14
random,nHandCustom,24,40,1,2,15
random,nHandCustom,28,36,1,2,16
random,nHandCustom,25,39,1,2,17
random,nHandCustom,29,35,1,2,18
random,nHandCustom,32,32,1,2,19
random,nHandCustom,16,48,1,2,20
random,nHandCustom,18,46,1,2,21
random,nHandCustom,31,33,1,2,22
random,nHandCustom,21,43,1,2,23
random,nHandCustom,32,32,1,2,24
random,nHandCustom,29,35,1,2,25
random,nHandCustom,21,43,1,2,26
random,nHandCustom,21,43,1,2,27
random,nHandCustom,23,41,1,2,28
random,nHandCustom,25,39,1,2,29
random,nHandCustom,27,37,1,2,30
random,nHandCustom,15,49,1,2,31
