black_method,white_method,black_score,white_score,black_read_goal,white_read_goal,seed
random,nLeast,20,44,2,2,63
random,nLeast,45,18,2,2,64
random,nLeast,18,46,2,2,65
random,nLeast,41,23,2,2,66
random,nLeast,33,31,2,2,67
random,nLeast,10,54,2,2,68
random,nLeast,10,54,2,2,69
random,nLeast,45,19,2,2,70
random,nLeast,18,46,2,2,71
random,nLeast,51,13,2,2,72
random,nLeast,16,48,2,2,73
random,nLeast,52,12,2,2,74
random,nLeast,35,28,2,2,75
random,nLeast,34,30,2,2,76
random,nLeast,0,56,2,2,77
random,nLeast,41,23,2,2,78
random,nLeast,45,19,2,2,79
random,nLeast,1,60,2,2,80
random,nLeast,32,32,2,2,81
random,nLeast,43,21,2,2,82
random,nLeast,32,32,2,2,83
random,nLeast,50,14,2,2,84
random,nLeast,16,48,2,2,85
random,nLeast,0,57,2,2,86
random,nLeast,29,35,2,2,87
random,nLeast,56,6,2,2,88
random,nLeast,32,32,2,2,89
random,nLeast,25,38,2,2,90
random,nLeast,6,58,2,2,91
random,nLeast,45,19,2,2,92
random,nLeast,45,19,2,2,93
random,nLeast,0,45,2,2,94
random,nLeast,23,41,2,2,95
random,nLeast,0,46,2,2,96
random,nLeast,24,40,2,2,97
random,nLeast,49,15,2,2,98
random,nLeast,32,32,2,2,99
random,nMost,35,29,2,1,0
random,nMost,27,36,2,1,1
random,nMost,34,30,2,1,2
random,nMost,50,14,2,1,3
random,nMost,30,34,2,1,4
random,nMost,33,31,2,1,5
random,nMost,38,26,2,1,6
random,nMost,44,20,2,1,7
random,nMost,39,25,2,1,8
random,nMost,21,43,2,1,9
random,nMost,44,20,2,1,10
random,nMost,27,37,2,1,11
random,nMost,39,25,2,1,12
random,nMost,29,35,2,1,13
random,nMost,8,56,2,1,14
random,nMost,26,38,2,1,15
random,nMost,37,27,2,1,16
random,nMost,16,48,2,1,17
random,nMost,27,37,2,1,18
random,nMost,27,37,2,1,19
random,nMost,48,16,2,1,20
random,nMost,43,21,2,1,21
random,nMost,28,36,2,1,22
random,nMost,29,35,2,1,23
random,nMost,30,34,2,1,24
random,nMost,23,41,2,1,25
random,nMost,25,39,2,1,26
random,nMost,44,20,2,1,27
random,nMost,25,39,2,1,28
random,nMost,46,18,2,1,29
random,nMost,26,38,2,1,30
random,nMost,25,39,2,1,31
random,nMost,22,42,2,1,32
random,nMost,31,33,2,1,33
random,nMost,26,38,2,1,34
random,nMost,51,13,2,1,35
random,nMost,28,36,2,1,36
random,nMost,47,17,2,1,37
random,nMost,29,35,2,1,38
random,nMost,42,22,2,1,39
random,nMost,36,28,2,1,40
random,nMost,39,25,2,1,41
random,nMost,27,37,2,1,42
random,nMost,42,22,2,1,43
random,nMost,50,14,2,1,44
random,nMost,20,44,2,1,45
random,nMost,35,29,2,1,46
random,nMost,0,21,2,1,47
random,nMost,46,18,2,1,48
random,nMost,23,41,2,1,49
random,nMost,42,22,2,1,50
random,nMost,51,13,2,1,51
random,nMost,31,33,2,1,52
random,nMost,28,36,2,1,53
random,nMost,37,27,2,1,54
random,nMost,35,29,2,1,55
random,nMost,28,36,2,1,56
random,nMost,38,26,2,1,57
random,nMost,34,30,2,1,58
random,nMost,18,46,2,1,59
random,nMost,19,45,2,1,60
random,nMost,27,37,2,1,61
random,nMost,24,40,2,1,62
random,nMost,43,21,2,1,63
random,nMost,40,24,2,1,64
random,nMost,26,38,2,1,65
random,nMost,41,23,2,1,66
random,nMost,31,33,2,1,67
random,nMost,31,33,2,1,68
random,nMost,33,31,2,1,69
random,nMost,27,37,2,1,70
random,nMost,27,37,2,1,71
random,nMost,26,38,2,1,72
random,nMost,22,42,2,1,73
random,nMost,28,36,2,1,74
random,nMost,31,33,2,1,75
random,nMost,42,22,2,1,76
random,nMost,13,51,2,1,77
random,nMost,29,35,2,1,78
random,nMost,33,31,2,1,79
random,nMost,27,37,2,1,80
random,nMost,34,30,2,1,81
random,nMost,32,32,2,1,82
random,nMost,28,36,2,1,83
random,nMost,22,42,2,1,84
random,nMost,10,54,2,1,85
random,nMost,46,18,2,1,86
random,nMost,47,17,2,1,87
random,nMost,32,32,2,1,88
random,nMost,16,48,2,1,89
random,nMost,41,23,2,1,90
random,nMost,46,18,2,1,91
random,nMost,25,39,2,1,92
random,nMost,21,43,2,1,93
random,nMost,29,35,2,1,94
random,nMost,39,25,2,1,95
random,nMost,31,33,2,1,96
random,nMost,28,36,2,1,97
random,nMost,30,34,2,1,98
random,nMost,38,26,2,1,99
random,nMost,35,29,2,2,0
random,nMost,27,36,2,2,1
random,nMost,34,30,2,2,2
random,nMost,50,14,2,2,3
random,nMost,30,34,2,2,4
random,nMost,33,31,2,2,5
random,nMost,38,26,2,2,6
random,nMost,44,20,2,2,7
random,nMost,39,25,2,2,8
random,nMost,21,43,2,2,9
random,nMost,44,20,2,2,10
random,nMost,27,37,2,2,11
random,nMost,39,25,2,2,12
random,nMost,29,35,2,2,13
random,nMost,8,56,2,2,14
random,nMost,26,38,2,2,15
random,nMost,37,27,2,2,16
random,nMost,16,48,2,2,17
random,nMost,27,37,2,2,18
random,nMost,27,37,2,2,19
random,nMost,48,16,2,2,20
random,nMost,43,21,2,2,21
random,nMost,28,36,2,2,22
random,nMost,29,35,2,2,23
random,nMost,30,34,2,2,24
random,nMost,23,41,2,2,25
random,nMost,25,39,2,2,26
random,nMost,44,20,2,2,27
random,nMost,25,39,2,2,28
random,nMost,46,18,2,2,29
random,nMost,26,38,2,2,30
random,nMost,25,39,2,2,31
random,nMost,22,42,2,2,32
random,nMost,31,33,2,2,33
random,nMost,26,38,2,2,34
random,nMost,51,13,2,2,35
random,nMost,28,36,2,2,36
random,nMost,47,17,2,2,37
random,nMost,29,35,2,2,38
random,nMost,42,22,2,2,39
random,nMost,36,28,2,2,40
random,nMost,39,25,2,2,41
random,nMost,27,37,2,2,42
random,nMost,42,22,2,2,43
random,nMost,50,14,2,2,44
random,nMost,20,44,2,2,45
random,nMost,35,29,2,2,46
random,nMost,0,21,2,2,47
random,nMost,46,18,2,2,48
random,nMost,23,41,2,2,49
random,nMost,42,22,2,2,50
random,nMost,51,13,2,2,51
random,nMost,31,33,2,2,52
random,nMost,28,36,2,2,53
random,nMost,37,27,2,2,54
random,nMost,35,29,2,2,55
random,nMost,28,36,2,2,56
random,nMost,38,26,2,2,57
random,nMost,34,30,2,2,58
random,nMost,18,46,2,2,59
random,nMost,19,45,2,2,60
random,nMost,27,37,2,2,61
random,nMost,24,40,2,2,62
random,nMost,43,21,2,2,63
random,nMost,40,24,2,2,64
random,nMost,26,38,2,2,65
random,nMost,41,23,2,2,66
random,nMost,31,33,2,2,67
random,nMost,31,33,2,2,68
random,nMost,33,31,2,2,69
random,nMost,27,37,2,2,70
random,nMost,27,37,2,2,71
random,nMost,26,38,2,2,72
random,nMost,22,42,2,2,73
random,nMost,28,36,2,2,74
random,nMost,31,33,2,2,75
random,nMost,42,22,2,2,76
random,nMost,13,51,2,2,77
random,nMost,29,35,2,2,78
random,nMost,33,31,2,2,79
random,nMost,27,37,2,2,80
random,nMost,34,30,2,2,81
random,nMost,32,32,2,2,82
random,nMost,28,36,2,2,83
random,nMost,22,42,2,2,84
random,nMost,10,54,2,2,85
random,nMost,46,18,2,2,86
random,nMost,47,17,2,2,87
random,nMost,32,32,2,2,88
random,nMost,16,48,2,2,89
random,nMost,41,23,2,2,90
random,nMost,46,18,2,2,91
random,nMost,25,39,2,2,92
random,nMost,21,43,2,2,93
random,nMost,29,35,2,2,94
random,nMost,39,25,2,2,95
random,nMost,31,33,2,2,96
random,nMost,28,36,2,2,97
random,nMost,30,34,2,2,98
random,nMost,38,26,2,2,99
random,oseroAI,42,22,2,1,0
random,oseroAI,18,46,2,1,1
random,oseroAI,44,20,2,1,2
random,oseroAI,39,25,2,1,3
random,oseroAI,29,35,2,1,4
random,oseroAI,36,28,2,1,5
random,oseroAI,22,42,2,1,6
random,oseroAI,38,26,2,1,7
random,oseroAI,44,20,2,1,8
random,oseroAI,57,7,2,1,9
random,oseroAI,35,29,2,1,10
random,oseroAI,36,28,2,1,11
random,oseroAI,37,27,2,1,12
random,oseroAI,40,24,2,1,13
random,oseroAI,30,34,2,1,14
random,oseroAI,49,15,2,1,15
random,oseroAI,45,19,2,1,16
random,oseroAI,42,22,2,1,17
random,oseroAI,46,18,2,1,18
random,oseroAI,24,40,2,1,19
random,oseroAI,46,18,2,1,20
random,oseroAI,14,50,2,1,21
random,oseroAI,39,25,2,1,22
random,oseroAI,29,35,2,1,23
random,oseroAI,41,23,2,1,24
random,oseroAI,31,33,2,1,25
random,oseroAI,31,33,2,1,26
random,oseroAI,32,32,2,1,27
random,oseroAI,26,38,2,1,28
random,oseroAI,42,22,2,1,29
random,oseroAI,26,38,2,1,30
random,oseroAI,22,42,2,1,31
random,oseroAI,24,40,2,1,32
random,oseroAI,40,24,2,1,33
random,oseroAI,23,41,2,1,34
random,oseroAI,25,39,2,1,35
random,oseroAI,44,20,2,1,36
random,oseroAI,31,33,2,1,37
random,oseroAI,45,19,2,1,38
random,oseroAI,46,18,2,1,39
random,oseroAI,24,40,2,1,40
random,oseroAI,37,27,2,1,41
random,oseroAI,39,25,2,1,42
random,oseroAI,30,34,2,1,43
random,oseroAI,37,27,2,1,44
random,oseroAI,26,38,2,1,45
random,oseroAI,17,47,2,1,46
random,oseroAI,20,44,2,1,47
random,oseroAI,39,25,2,1,48
random,oseroAI,37,27,2,1,49
random,oseroAI,46,18,2,1,50
random,oseroAI,35,29,2,1,51
random,oseroAI,50,13,2,1,52
random,oseroAI,18,46,2,1,53
random,oseroAI,27,37,2,1,54
random,oseroAI,27,37,2,1,55
random,oseroAI,21,43,2,1,56
random,oseroAI,18,46,2,1,57
random,oseroAI,29,35,2,1,58
random,oseroAI,47,17,2,1,59
random,oseroAI,38,26,2,1,60
random,oseroAI,27,37,2,1,61
random,oseroAI,18,46,2,1,62
random,oseroAI,43,21,2,1,63
random,oseroAI,19,45,2,1,64
random,oseroAI,12,52,2,1,65
random,oseroAI,50,14,2,1,66
random,oseroAI,49,15,2,1,67
random,oseroAI,36,28,2,1,68
random,oseroAI,24,40,2,1,69
random,oseroAI,31,33,2,1,70
random,oseroAI,18,46,2,1,71
random,oseroAI,36,28,2,1,72
random,oseroAI,34,30,2,1,73
random,oseroAI,42,22,2,1,74
random,oseroAI,50,14,2,1,75
random,oseroAI,23,41,2,1,76
random,oseroAI,33,31,2,1,77
random,oseroAI,36,28,2,1,78
random,oseroAI,40,24,2,1,79
random,oseroAI,28,36,2,1,80
random,oseroAI,34,30,2,1,81
random,oseroAI,35,29,2,1,82
random,oseroAI,27,37,2,1,83
random,oseroAI,23,41,2,1,84
random,oseroAI,32,32,2,1,85
random,oseroAI,29,35,2,1,86
random,oseroAI,21,43,2,1,87
random,oseroAI,31,33,2,1,88
random,oseroAI,41,23,2,1,89
random,oseroAI,39,25,2,1,90
random,oseroAI,40,24,2,1,91
random,oseroAI,27,37,2,1,92
random,oseroAI,29,35,2,1,93
random,oseroAI,22,42,2,1,94
random,oseroAI,21,43,2,1,95
random,oseroAI,31,33,2,1,96
random,oseroAI,44,20,2,1,97
random,oseroAI,45,19,2,1,98
random,oseroAI,42,22,2,1,99
random,oseroAI,17,47,2,2,0
random,oseroAI,29,35,2,2,1
random,oseroAI,50,14,2,2,2
random,oseroAI,18,46,2,2,3
random,oseroAI,22,42,2,2,4
random,oseroAI,26,38,2,2,5
random,oseroAI,19,45,2,2,6
random,oseroAI,32,32,2,2,7
random,oseroAI,31,33,2,2,8
random,oseroAI,14,50,2,2,9
random,oseroAI,32,32,2,2,10
random,oseroAI,28,36,2,2,11
random,oseroAI,24,40,2,2,12
random,oseroAI,26,38,2,2,13
random,oseroAI,28,36,2,2,14
random,oseroAI,32,32,2,2,15
random,oseroAI,41,23,2,2,16
random,oseroAI,18,46,2,2,17
random,oseroAI,21,43,2,2,18
random,oseroAI,39,25,2,2,19
random,oseroAI,34,30,2,2,20
random,oseroAI,29,35,2,2,21
random,oseroAI,34,30,2,2,22
random,oseroAI,29,35,2,2,23
random,oseroAI,44,20,2,2,24
random,oseroAI,29,35,2,2,25
random,oseroAI,46,18,2,2,26
random,oseroAI,20,44,2,2,27
random,oseroAI,31,33,2,2,28
random,oseroAI,25,39,2,2,29
random,oseroAI,30,34,2,2,30
random,oseroAI,36,28,2,2,31
random,oseroAI,33,31,2,2,32
random,oseroAI,16,48,2,2,33
random,oseroAI,35,29,2,2,34
random,oseroAI,38,26,2,2,35
random,oseroAI,23,41,2,2,36
random,oseroAI,45,19,2,2,37
random,oseroAI,30,34,2,2,38
random,oseroAI,49,15,2,2,39
random,oseroAI,46,18,2,2,40
random,oseroAI,35,29,2,2,41
random,oseroAI,41,23,2,2,42
random,oseroAI,9,55,2,2,43
random,oseroAI,28,36,2,2,44
random,oseroAI,34,30,2,2,45
random,oseroAI,29,35,2,2,46
random,oseroAI,26,38,2,2,47
random,oseroAI,31,33,2,2,48
random,oseroAI,27,37,2,2,49
random,oseroAI,20,44,2,2,50
random,oseroAI,23,41,2,2,51
random,oseroAI,30,34,2,2,52
random,oseroAI,43,21,2,2,53
random,oseroAI,32,32,2,2,54
random,oseroAI,43,21,2,2,55
random,oseroAI,44,20,2,2,56
random,oseroAI,25,39,2,2,57
random,oseroAI,34,30,2,2,58
random,oseroAI,42,22,2,2,59
random,oseroAI,16,48,2,2,60
random,oseroAI,19,45,2,2,61
random,oseroAI,32,32,2,2,62
random,oseroAI,41,23,2,2,63
random,oseroAI,37,27,2,2,64
random,oseroAI,35,29,2,2,65
random,oseroAI,49,15,2,2,66
random,oseroAI,42,22,2,2,67
random,oseroAI,33,31,2,2,68
random,oseroAI,35,29,2,2,69
random,oseroAI,26,38,2,2,70
random,oseroAI,33,31,2,2,71
random,oseroAI,26,38,2,2,72
random,oseroAI,44,20,2,2,73
random,oseroAI,26,38,2,2,74
random,oseroAI,39,25,2,2,75
random,oseroAI,32,32,2,2,76
random,oseroAI,36,28,2,2,77
random,oseroAI,15,49,2,2,78
random,oseroAI,27,37,2,2,79
random,oseroAI,11,53,2,2,80
random,oseroAI,31,33,2,2,81
random,oseroAI,18,46,2,2,82
random,oseroAI,40,24,2,2,83
random,oseroAI,44,20,2,2,84
random,oseroAI,22,42,2,2,85
random,oseroAI,37,27,2,2,86
random,oseroAI,31,33,2,2,87
random,oseroAI,30,34,2,2,88
random,oseroAI,32,32,2,2,89
random,oseroAI,35,29,2,2,90
random,oseroAI,50,14,2,2,91
random,oseroAI,35,29,2,2,92
random,oseroAI,23,41,2,2,93
random,oseroAI,30,34,2,2,94
random,oseroAI,31,33,2,2,95
random,oseroAI,23,41,2,2,96
random,oseroAI,41,23,2,2,97
random,oseroAI,29,35,2,2,98
random,oseroAI,48,16,2,2,99
nHand,random,44,20,1,1,0
nHand,random,19,45,1,1,1
nHand,random,22,42,1,1,2
nHand,random,15,49,1,1,3
nHand,random,19,45,1,1,4
nHand,random,40,24,1,1,5
nHand,random,40,24,1,1,6
nHand,random,35,29,1,1,7
nHand,random,36,28,1,1,8
nHand,random,31,33,1,1,9
nHand,random,46,18,1,1,10
nHand,random,23,41,1,1,11
nHand,random,44,20,1,1,12
nHand,random,43,21,1,1,13
nHand,random,50,14,1,1,14
nHand,random,39,25,1,1,15
nHand,random,35,29,1,1,16
nHand,random,40,24,1,1,17
nHand,random,40,24,1,1,18
nHand,random,14,50,1,1,19
nHand,random,22,42,1,1,20
nHand,random,42,22,1,1,21
nHand,random,33,31,1,1,22
nHand,random,44,20,1,1,23
nHand,random,19,45,1,1,24
nHand,random,32,7,1,1,25
nHand,random,35,29,1,1,26
nHand,random,27,0,1,1,27
nHand,random,41,23,1,1,28
nHand,random,41,23,1,1,29
nHand,random,17,47,1,1,30
nHand,random,21,43,1,1,31
nHand,random,25,39,1,1,32
nHand,random,50,14,1,1,33
nHand,random,17,0,1,1,34
nHand,random,34,30,1,1,35
nHand,random,30,34,1,1,36
nHand,random,23,41,1,1,37
nHand,random,34,30,1,1,38
nHand,random,45,19,1,1,39
nHand,random,32,32,1,1,40
nHand,random,31,33,1,1,41
nHand,random,32,32,1,1,42
nHand,random,35,29,1,1,43
nHand,random,29,35,1,1,44
nHand,random,35,29,1,1,45
nHand,random,34,30,1,1,46
nHand,random,42,22,1,1,47
nHand,random,47,17,1,1,48
nHand,random,43,21,1,1,49
nHand,random,41,23,1,1,50
nHand,random,35,29,1,1,51
nHand,random,25,39,1,1,52
nHand,random,22,42,1,1,53
nHand,random,49,15,1,1,54
nHand,random,29,35,1,1,55
nHand,random,38,26,1,1,56
nHand,random,35,29,1,1,57
nHand,random,33,31,1,1,58
nHand,random,25,39,1,1,59
nHand,random,19,45,1,1,60
nHand,random,37,27,1,1,61
nHand,random,19,0,1,1,62
nHand,random,37,27,1,1,63
nHand,random,31,33,1,1,64
nHand,random,14,50,1,1,65
nHand,random,23,0,1,1,66
nHand,random,34,30,1,1,67
nHand,random,27,37,1,1,68
nHand,random,21,0,1,1,69
nHand,random,42,22,1,1,70
nHand,random,23,41,1,1,71
nHand,random,51,13,1,1,72
nHand,random,42,22,1,1,73
nHand,random,49,15,1,1,74
nHand,random,47,17,1,1,75
nHand,random,20,44,1,1,76
nHand,random,23,41,1,1,77
nHand,random,41,22,1,1,78
nHand,random,47,17,1,1,79
nHand,random,16,48,1,1,80
nHand,random,36,28,1,1,81
nHand,random,28,36,1,1,82
nHand,random,29,35,1,1,83
nHand,random,25,0,1,1,84
nHand,random,22,42,1,1,85
nHand,random,23,41,1,1,86
nHand,random,37,27,1,1,87
nHand,random,12,52,1,1,88
nHand,random,34,30,1,1,89
nHand,random,32,32,1,1,90
nHand,random,30,34,1,1,91
nHand,random,19,0,1,1,92
nHand,random,37,27,1,1,93
nHand,random,16,48,1,1,94
nHand,random,29,35,1,1,95
nHand,random,34,30,1,1,96
nHand,random,43,21,1,1,97
nHand,random,33,31,1,1,98
nHand,random,38,26,1,1,99
nHand,random,44,20,1,2,0
nHand,random,19,45,1,2,1
nHand,random,22,42,1,2,2
nHand,random,15,49,1,2,3
nHand,random,19,45,1,2,4
nHand,random,40,24,1,2,5
nHand,random,40,24,1,2,6
nHand,random,35,29,1,2,7
nHand,random,36,28,1,2,8
nHand,random,31,33,1,2,9
nHand,random,46,18,1,2,10
nHand,random,23,41,1,2,11
nHand,random,44,20,1,2,12
nHand,random,43,21,1,2,13
nHand,random,50,14,1,2,14
nHand,random,39,25,1,2,15
nHand,random,35,29,1,2,16
nHand,random,40,24,1,2,17
nHand,random,40,24,1,2,18
nHand,random,14,50,1,2,19
nHand,random,22,42,1,2,20
nHand,random,42,22,1,2,21
nHand,random,33,31,1,2,22
nHand,random,44,20,1,2,23
nHand,random,19,45,1,2,24
nHand,random,32,7,1,2,25
nHand,random,35,29,1,2,26
nHand,random,27,0,1,2,27
nHand,random,41,23,1,2,28
nHand,random,41,23,1,2,29
nHand,random,17,47,1,2,30
nHand,random,21,43,1,2,31
nHand,random,25,39,1,2,32
nHand,random,50,14,1,2,33
nHand,random,17,0,1,2,34
nHand,random,34,30,1,2,35
nHand,random,30,34,1,2,36
nHand,random,23,41,1,2,37
nHand,random,34,30,1,2,38
nHand,random,45,19,1,2,39
nHand,random,32,32,1,2,40
nHand,random,31,33,1,2,41
nHand,random,32,32,1,2,42
nHand,random,35,29,1,2,43
nHand,random,29,35,1,2,44
nHand,random,35,29,1,2,45
nHand,random,34,30,1,2,46
nHand,random,42,22,1,2,47
nHand,random,47,17,1,2,48
nHand,random,43,21,1,2,49
nHand,random,41,23,1,2,50
nHand,random,35,29,1,2,51
nHand,random,25,39,1,2,52
nHand,random,22,42,1,2,53
nHand,random,49,15,1,2,54
nHand,random,29,35,1,2,55
nHand,random,38,26,1,2,56
nHand,random,35,29,1,2,57
nHand,random,33,31,1,2,58
nHand,random,25,39,1,2,59
nHand,random,19,45,1,2,60
nHand,random,37,27,1,2,61
nHand,random,19,0,1,2,62
nHand,random,37,27,1,2,63
nHand,random,31,33,1,2,64
nHand,random,14,50,1,2,65
nHand,random,23,0,1,2,66
nHand,random,34,30,1,2,67
nHand,random,27,37,1,2,68
nHand,random,21,0,1,2,69
nHand,random,42,22,1,2,70
nHand,random,23,41,1,2,71
nHand,random,51,13,1,2,72
nHand,random,42,22,1,2,73
nHand,random,49,15,1,2,74
nHand,random,47,17,1,2,75
nHand,random,20,44,1,2,76
nHand,random,23,41,1,2,77
nHand,random,41,22,1,2,78
nHand,random,47,17,1,2,79
nHand,random,16,48,1,2,80
nHand,random,36,28,1,2,81
nHand,random,28,36,1,2,82
nHand,random,29,35,1,2,83
nHand,random,25,0,1,2,84
nHand,random,22,42,1,2,85
nHand,random,23,41,1,2,86
nHand,random,37,27,1,2,87
nHand,random,12,52,1,2,88
nHand,random,34,30,1,2,89
nHand,random,32,32,1,2,90
nHand,random,30,34,1,2,91
nHand,random,19,0,1,2,92
nHand,random,37,27,1,2,93
nHand,random,16,48,1,2,94
nHand,random,29,35,1,2,95
nHand,random,34,30,1,2,96
nHand,random,43,21,1,2,97
nHand,random,33,31,1,2,98
nHand,random,38,26,1,2,99
nHand,nHand,43,21,1,1,0
nHand,nHand,47,17,1,1,1
nHand,nHand,42,22,1,1,2
nHand,nHand,34,30,1,1,3
nHand,nHand,27,37,1,1,4
nHand,nHand,29,35,1,1,5
nHand,nHand,33,31,1,1,6
nHand,nHand,25,39,1,1,7
nHand,nHand,31,33,1,1,8
nHand,nHand,42,21,1,1,9
nHand,nHand,39,25,1,1,10
nHand,nHand,25,39,1,1,11
nHand,nHand,26,38,1,1,12
nHand,nHand,30,34,1,1,13
nHand,nHand,33,31,1,1,14
nHand,nHand,40,24,1,1,15
nHand,nHand,29,35,1,1,16
nHand,nHand,53,11,1,1,17
nHand,nHand,50,14,1,1,18
nHand,nHand,45,19,1,1,19
nHand,nHand,29,35,1,1,20
nHand,nHand,18,46,1,1,21
nHand,nHand,33,31,1,1,22
nHand,nHand,30,34,1,1,23
nHand,nHand,39,25,1,1,24
nHand,nHand,15,49,1,1,25
nHand,nHand,36,28,1,1,26
nHand,nHand,40,24,1,1,27
nHand,nHand,45,19,1,1,28
nHand,nHand,19,45,1,1,29
nHand,nHand,40,24,1,1,30
nHand,nHand,19,45,1,1,31
nHand,nHand,45,19,1,1,32
nHand,nHand,36,28,1,1,33
nHand,nHand,31,33,1,1,34
nHand,nHand,42,22,1,1,35
nHand,nHand,46,18,1,1,36
nHand,nHand,27,37,1,1,37
nHand,nHand,33,31,1,1,38
nHand,nHand,32,32,1,1,39
nHand,nHand,23,41,1,1,40
nHand,nHand,50,13,1,1,41
nHand,nHand,26,38,1,1,42
nHand,nHand,24,40,1,1,43
nHand,nHand,38,26,1,1,44
nHand,nHand,33,31,1,1,45
nHand,nHand,20,44,1,1,46
nHand,nHand,26,38,1,1,47
nHand,nHand,33,31,1,1,48
nHand,nHand,22,42,1,1,49
nHand,nHand,13,51,1,1,50
nHand,nHand,28,36,1,1,51
nHand,nHand,30,34,1,1,52
nHand,nHand,38,26,1,1,53
nHand,nHand,18,46,1,1,54
nHand,nHand,47,17,1,1,55
nHand,nHand,24,40,1,1,56
nHand,nHand,27,37,1,1,57
nHand,nHand,29,35,1,1,58
nHand,nHand,20,44,1,1,59
nHand,nHand,24,40,1,1,60
nHand,nHand,43,21,1,1,61
nHand,nHand,42,22,1,1,62
nHand,nHand,26,38,1,1,63
nHand,nHand,20,44,1,1,64
nHand,nHand,38,26,1,1,65
nHand,nHand,16,48,1,1,66
nHand,nHand,22,42,1,1,67
nHand,nHand,29,35,1,1,68
nHand,nHand,24,40,1,1,69
nHand,nHand,20,44,1,1,70
nHand,nHand,16,48,1,1,71
nHand,nHand,22,42,1,1,72
nHand,nHand,14,50,1,1,73
nHand,nHand,40,24,1,1,74
nHand,nHand,37,27,1,1,75
nHand,nHand,31,33,1,1,76
nHand,nHand,33,31,1,1,77
nHand,nHand,45,19,1,1,78
nHand,nHand,40,24,1,1,79
nHand,nHand,22,42,1,1,80
nHand,nHand,11,53,1,1,81
nHand,nHand,36,28,1,1,82
nHand,nHand,28,36,1,1,83
nHand,nHand,41,8,1,1,84
nHand,nHand,36,28,1,1,85
nHand,nHand,35,29,1,1,86
nHand,nHand,28,36,1,1,87
nHand,nHand,32,32,1,1,88
nHand,nHand,25,39,1,1,89
nHand,nHand,33,31,1,1,90
nHand,nHand,42,22,1,1,91
nHand,nHand,26,38,1,1,92
nHand,nHand,11,53,1,1,93
nHand,nHand,18,46,1,1,94
nHand,nHand,31,33,1,1,95
nHand,nHand,19,45,1,1,96
nHand,nHand,20,44,1,1,97
nHand,nHand,32,32,1,1,98
nHand,nHand,37,27,1,1,99
nHand,nHand,18,46,1,2,0
nHand,nHand,34,30,1,2,1
nHand,nHand,28,36,1,2,2
nHand,nHand,32,32,1,2,3
nHand,nHand,31,33,1,2,4
nHand,nHand,33,31,1,2,5
nHand,nHand,18,46,1,2,6
nHand,nHand,37,27,1,2,7
nHand,nHand,19,45,1,2,8
nHand,nHand,23,40,1,2,9
nHand,nHand,43,20,1,2,10
nHand,nHand,28,36,1,2,11
nHand,nHand,36,28,1,2,12
nHand,nHand,22,42,1,2,13
nHand,nHand,26,38,1,2,14
nHand,nHand,10,54,1,2,15
nHand,nHand,41,23,1,2,16
nHand,nHand,32,32,1,2,17
nHand,nHand,33,31,1,2,18
nHand,nHand,37,27,1,2,19
nHand,nHand,41,23,1,2,20
nHand,nHand,16,48,1,2,21
nHand,nHand,20,44,1,2,22
nHand,nHand,31,33,1,2,23
nHand,nHand,31,33,1,2,24
nHand,nHand,28,36,1,2,25
nHand,nHand,30,34,1,2,26
nHand,nHand,23,41,1,2,27
nHand,nHand,30,34,1,2,28
nHand,nHand,33,31,1,2,29
nHand,nHand,28,36,1,2,30
nHand,nHand,35,29,1,2,31
nHand,nHand,38,26,1,2,32
nHand,nHand,20,44,1,2,33
nHand,nHand,18,46,1,2,34
nHand,nHand,16,48,1,2,35
nHand,nHand,32,32,1,2,36
nHand,nHand,43,21,1,2,37
nHand,nHand,24,40,1,2,38
nHand,nHand,34,30,1,2,39
nHand,nHand,48,16,1,2,40
nHand,nHand,19,45,1,2,41
nHand,nHand,37,27,1,2,42
nHand,nHand,18,46,1,2,43
nHand,nHand,28,36,1,2,44
nHand,nHand,45,19,1,2,45
nHand,nHand,24,40,1,2,46
nHand,nHand,51,13,1,2,47
nHand,nHand,24,40,1,2,48
nHand,nHand,25,39,1,2,49
nHand,nHand,28,36,1,2,50
nHand,nHand,32,32,1,2,51
nHand,nHand,43,21,1,2,52
nHand,nHand,32,32,1,2,53
nHand,nHand,35,29,1,2,54
nHand,nHand,17,47,1,2,55
nHand,nHand,28,36,1,2,56
nHand,nHand,35,29,1,2,57
nHand,nHand,38,26,1,2,58
nHand,nHand,34,30,1,2,59
nHand,nHand,21,43,1,2,60
nHand,nHand,44,20,1,2,61
nHand,nHand,19,45,1,2,62
nHand,nHand,23,41,1,2,63
nHand,nHand,40,24,1,2,64
nHand,nHand,18,46,1,2,65
nHand,nHand,24,40,1,2,66
nHand,nHand,47,17,1,2,67
nHand,nHand,34,30,1,2,68
nHand,nHand,39,25,1,2,69
nHand,nHand,39,25,1,2,70
nHand,nHand,25,39,1,2,71
nHand,nHand,39,25,1,2,72
nHand,nHand,43,21,1,2,73
nHand,nHand,29,35,1,2,74
nHand,nHand,32,32,1,2,75
nHand,nHand,23,40,1,2,76
nHand,nHand,22,42,1,2,77
nHand,nHand,39,24,1,2,78
nHand,nHand,23,41,1,2,79
nHand,nHand,26,38,1,2,80
nHand,nHand,39,25,1,2,81
nHand,nHand,40,24,1,2,82
nHand,nHand,41,23,1,2,83
nHand,nHand,25,39,1,2,84
