number,win,stone
425,-4,-102
426,0,-16
427,0,-53
428,-6,-166
429,-4,-82
430,-4,-142
431,-4,-61
432,0,8
433,-4,-129
434,-6,-196
435,-4,-132
436,-4,-84
437,-4,-90
438,-2,-31
439,-2,-67
440,-4,-54
441,-6,-150
442,2,46
443,-4,-96
444,-4,-84
445,0,35
446,-2,-3
447,-2,-120
448,-6,-111
449,-2,-96
450,-2,-92
451,-2,-86
452,-2,-38
453,-6,-77
454,0,18
455,-4,-81
456,-4,-105
457,-2,-3
458,0,6
459,-2,-18
460,-4,-87
461,-6,-115
462,-4,-73
463,-6,-188
464,-4,-136
465,-2,-26
466,-2,-4
467,0,26
468,-6,-68
469,-4,-150
470,-2,-18
471,-6,-213
472,-2,-79
473,0,-14
474,-6,-136
475,-2,-118
476,-2,6
477,0,-8
478,0,-42
479,0,-6
480,-6,-155
481,-4,-99
482,-2,-31
483,-2,-34
484,-6,-162
485,-4,-109
486,-8,-144
487,-6,-102
488,-2,-33
489,2,13
490,2,22
491,-6,-174
492,-2,-12
493,-2,-88
494,-4,-112
495,0,-76
496,0,28
497,-2,-61
498,-6,-67
499,0,-12
500,-2,-22
501,-8,-172
502,2,38
503,-8,-112
504,-6,-121
505,0,-26
506,2,24
507,4,78
508,-2,36
509,2,8
510,0,-58
511,0,-11
512,2,-15
513,-8,-194
514,-4,-88
515,-6,-65
516,-2,-70
517,-2,18
518,0,16
519,0,6
520,-4,-179
521,6,123
522,-8,-116
523,-2,-18
524,-6,-200
525,0,-61
526,-2,-56
527,-6,-90
528,-2,-110
529,-2,-84
530,-8,-123
531,-4,-162
532,-4,-132
533,-2,-59
534,-4,-72
535,0,-28
536,-4,-56
537,-2,-38
538,4,26
539,0,-58
540,0,-30
541,2,-38
542,-2,-42
543,-2,-78
544,2,40
545,-6,-152
546,-2,-68
547,-2,-16
548,-4,-138
549,0,-78
550,-2,-95
551,2,15
552,0,33
553,0,-79
554,-4,-179
555,-8,-147
556,0,-50
557,-4,-102
558,-2,-56
559,-2,10
560,-4,-61
561,-6,-161
562,0,20
563,-6,-125
564,-6,-54
565,-2,-18
566,-4,-112
567,-4,-70
568,0,-13
569,-6,-133
570,-10,-272
571,-2,-40
572,-2,-87
573,-4,-56
574,-2,-91
575,0,26
576,-4,-165
577,-2,-72
578,0,37
579,-2,-12
580,-4,-98
581,-4,9
582,0,-51
583,-2,-27
584,-6,-148
585,-2,-76
586,-4,-125
587,-2,-20
588,0,-72
589,-6,-113
590,-4,-25
591,0,26
592,-4,-77
593,-4,-86
594,-4,-148
595,0,-57
596,-6,-114
597,-6,-111
598,-6,-132
599,-2,-36
600,-4,-44
601,-8,-174
602,-6,-142
603,-6,-191
604,0,-25
605,-2,-18
606,-6,-192
607,0,-14
608,-4,-132
609,-6,-155
610,4,31
611,-4,-84
612,-4,-63
613,-4,-103
614,-6,-123
615,-2,-113
616,0,-97
617,-4,-57
618,-4,-131
619,0,15
620,-2,-46
621,-6,-80
622,2,35
623,-4,-113
624,2,-8
625,-2,-70
626,-4,-84
627,-4,-73
628,-4,9
629,-4,-113
630,-2,-39
631,-2,-83
632,-4,-94
633,-2,-96
634,0,-44
635,-4,-28
636,0,-10
637,-4,-70
638,2,56
639,-2,-81
640,0,-22
641,-4,16
642,-2,-98
643,-6,-68
644,-4,-110
645,-4,-48
646,-4,-28
647,-2,-60
648,-2,-82
649,-2,-40
650,4,38
651,-4,-65
652,-4,-120
653,-6,-105
654,-2,-32
655,-6,-44
656,0,-42
657,-4,-45
658,6,20
659,-2,-14
660,-4,-118
661,0,2
662,-6,-105
663,-2,-74
664,2,29
665,0,50
666,-2,-36
667,-4,-132
668,2,5
669,-6,-181
670,0,14
671,-2,11
672,0,-51
673,-6,-131
674,-2,-128
675,0,4
676,0,-22
677,-4,-145
678,-2,8
679,0,18
680,-4,-52
681,-4,-92
682,-2,-64
683,-6,-101
684,2,-4
685,-2,-60
686,-6,-170
687,-6,-98
688,-4,-115
689,-6,-178
690,-6,-86
691,0,46
692,-8,-120
693,-4,-78
694,-4,-70
695,-2,-32
696,0,-77
697,-2,-115
698,-4,-77
699,-2,-60
700,-4,-112
701,2,67
702,-4,-153
703,-4,-115
704,-2,-74
705,4,38
706,-4,-20
707,2,13
708,-6,-82
709,-2,-20
710,-4,-68
711,-6,-122
712,-2,-49
713,-4,-56
714,-2,-163
715,-6,-91
716,2,-18
717,2,38
718,-4,-133
719,-2,-104
720,-4,-128
721,-6,-88
722,0,-4
723,-2,-46
724,-4,-110
725,-6,-53
726,-4,-39
727,6,162
728,-2,-22
729,0,-41
730,4,-74
731,-4,-78
732,0,-68
733,2,-14
734,-4,-62
735,-4,-129
736,-4,-74
737,0,-10
738,-2,-87
739,0,-70
740,-4,-36
741,-6,-186
742,-6,-144
743,0,30
744,-4,-104
745,-4,-100
746,-8,-124
747,2,15
748,-2,-138
749,-6,-100
750,-2,-48
751,-6,-161
752,-2,-67
753,-2,-103
754,-6,-169
755,-4,-135
756,-4,-62
757,0,-60
758,0,-36
759,-4,-114
760,-2,-97
761,2,-2
762,-4,-94
763,-4,-95
764,-8,-156
765,-2,-42
766,-2,-37
767,2,60
768,-4,-87
769,-10,-170
770,0,19
771,-2,-110
772,-6,-98
773,-2,-100
774,0,62
775,-2,-98
776,-2,21
777,-4,-38
778,0,-2
779,0,-58
780,-2,-40
781,-2,11
782,-2,-40
783,-8,-120
784,-2,-98
785,-2,-52
786,-4,-139
787,-4,-134
788,-8,-70
789,-2,-107
790,-2,-114
791,-6,-125
792,-4,-60
793,-2,-26
794,2,-4
795,0,-64
796,-6,-105
797,-2,-26
798,-2,-44
799,-4,-177
800,-2,1
801,-2,36
802,-2,-88
803,0,-12
804,-4,-200
805,-2,-99
806,2,67
807,2,23
808,-4,-56
809,2,6
810,-2,-103
811,-6,-164
812,-2,-64
813,0,52
814,-2,-122
815,-2,-65
816,0,-10
817,-2,-91
818,0,-46
819,-6,-92
820,-2,-54
821,2,-17
822,-2,-20
823,4,-72
824,-4,-25
825,-2,-60
826,-4,-120
827,0,-2
828,0,20
829,-4,-106
830,-4,-78
831,2,55
832,-2,-85
833,0,-81
834,-4,-69
835,-6,-136
836,-2,-53
837,0,46
838,-2,-30
839,-4,-72
840,0,-75
841,-6,-74
842,-2,-80
843,-8,-124
844,-4,-84
845,2,14
846,-4,-52
847,-6,-134
848,-2,-62
849,-2,-99
850,2,0
851,-2,-55
852,-2,12
853,-8,-248
854,-2,-88
855,-4,-136
856,0,-110
857,-6,-100
858,-2,47
859,-2,-16
860,-4,-110
861,-4,-23
862,0,-4
863,-2,-54
864,0,-62
865,4,67
866,0,-15
867,-2,-102
868,2,22
869,-4,-94
870,0,-54
871,-4,-16
872,-6,-82
873,-2,-16
874,4,32
875,-2,-25
876,2,-6
877,2,40
878,-10,-180
879,-4,-104
880,0,-22
881,0,-26
882,-2,-49
883,-2,-34
884,-8,-135
885,-2,-8
886,2,12
887,-4,-84
888,-6,-100
889,-4,-125
890,0,-8
891,-4,-87
892,-2,-104
893,2,2
894,-4,-132
895,-8,-151
896,-6,-220
897,-2,-68
898,2,54
899,-8,-132
900,-2,50
901,-2,22
902,2,-28
903,-6,-149
904,4,71
905,-4,-30
906,-4,-79
907,-2,-48
908,-4,-74
909,0,-33
910,-4,-146
911,-4,-125
912,-6,-107
913,-4,-70
914,-8,-191
915,-2,-33
916,-2,-124
917,-4,-124
918,0,-46
919,-8,-209
920,-2,-36
921,2,66
922,2,-18
923,-2,-17
924,-6,-69
925,-2,-77
926,-4,-144
927,2,21
928,-4,-130
929,-2,-20
930,-4,-22
931,-8,-177
932,-4,-123
933,-6,-112
934,-4,-57
935,-2,17
936,0,36
937,-4,-148
938,-4,-35
939,-6,-170
940,-2,-52
941,-4,-128
942,2,24
943,-2,-18
944,-8,-159
945,0,26
946,-6,-176
947,-2,-86
948,-2,-23
949,-4,-145
950,-2,-58
951,2,58
952,-8,-141
953,0,-74
954,-2,-70
955,-4,-59
956,0,32
957,2,-54
958,-2,-127
959,-4,13
960,-4,-44
961,-2,-88
962,-2,4
963,2,104
964,-2,-26
965,-6,-154
966,0,-30
967,0,-36
968,2,24
969,-4,-185
970,-2,-74
971,-4,-148
972,-8,-122
973,-2,-61
974,2,39
975,0,-26
976,-2,-21
977,0,-34
978,-2,-18
979,-4,-24
980,-4,-42
981,-2,-115
982,-2,-52
983,0,30
984,0,-66
985,-8,-58
986,-6,-140
987,-10,-165
988,-2,-119
989,-6,-117
990,-6,-116
991,0,-30
992,-2,-88
993,4,19
994,-6,-156
995,2,-17
996,0,5
997,-8,-162
998,2,0
999,-8,-131
