,batch_size,num_of_layer,lr,lower_bound,upper_bound,MSE_test,MAE_test
84,150,4,0.025,-5,5,variable(69.007996),variable(4.6962757)
85,150,4,0.3,-1,1,variable(67.745125),variable(5.0098996)
86,150,4,0.3,-2,2,variable(71.2075),variable(4.8512793)
87,150,4,0.3,-3,3,variable(65.12045),variable(4.6361113)
88,150,4,0.3,-4,4,variable(77.539856),variable(4.8525352)
89,150,4,0.3,-5,5,variable(79.963715),variable(5.107949)
90,200,2,0.01,-1,1,variable(91.04743),variable(7.021759)
91,200,2,0.01,-2,2,variable(101.63852),variable(7.2831607)
92,200,2,0.01,-3,3,variable(104.49757),variable(7.3385525)
93,200,2,0.01,-4,4,variable(109.6637),variable(7.4371495)
94,200,2,0.01,-5,5,variable(106.44605),variable(7.4661326)
95,200,2,0.025,-1,1,variable(100.99914),variable(7.359143)
96,200,2,0.025,-2,2,variable(115.08126),variable(7.742443)
97,200,2,0.025,-3,3,variable(99.17262),variable(7.1053276)
98,200,2,0.025,-4,4,variable(106.459595),variable(7.4621115)
99,200,2,0.025,-5,5,variable(97.301346),variable(7.191355)
100,200,2,0.3,-1,1,variable(95.498726),variable(7.0051703)
101,200,2,0.3,-2,2,variable(100.86545),variable(7.2186956)
102,200,2,0.3,-3,3,variable(108.20728),variable(7.5547886)
103,200,2,0.3,-4,4,variable(102.632324),variable(7.271288)
104,200,2,0.3,-5,5,variable(108.60885),variable(7.4470367)
105,200,3,0.01,-1,1,variable(83.36543),variable(5.9445953)
106,200,3,0.01,-2,2,variable(83.07982),variable(5.94427)
107,200,3,0.01,-3,3,variable(89.42172),variable(6.1203995)
108,200,3,0.01,-4,4,variable(83.22788),variable(5.8000755)
109,200,3,0.01,-5,5,variable(88.35924),variable(6.0576296)
110,200,3,0.025,-1,1,variable(73.911354),variable(5.5556736)
111,200,3,0.025,-2,2,variable(80.350815),variable(5.8397775)
112,200,3,0.025,-3,3,variable(80.245766),variable(5.5729256)
113,200,3,0.025,-4,4,variable(88.49628),variable(5.976514)
