,batch_size,multi,optimizer,bound,test_MSE,test_MAE
84,200,2.5,RMSpropGraves,1,variable(222.25294),variable(9.360821)
85,200,2.5,RMSpropGraves,2,variable(188.23961),variable(9.349276)
86,200,2.5,RMSpropGraves,3,variable(204.20636),variable(9.628175)
87,200,2.5,RMSpropGraves,4,variable(204.44101),variable(9.29422)
88,200,2.5,SMORMS3,1,variable(234.50145),variable(10.086684)
89,200,2.5,SMORMS3,2,variable(217.25339),variable(9.292103)
90,200,2.5,SMORMS3,3,variable(231.96088),variable(9.8704)
91,200,2.5,SMORMS3,4,variable(212.85907),variable(9.526372)
92,200,2.5,AMSGrad,1,variable(240.44044),variable(10.051524)
93,200,2.5,AMSGrad,2,variable(225.68025),variable(9.948396)
94,200,2.5,AMSGrad,3,variable(198.08632),variable(9.293537)
95,200,2.5,AMSGrad,4,variable(221.4854),variable(9.84983)
96,250,1.5,Adam,1,variable(208.67252),variable(9.250288)
97,250,1.5,Adam,2,variable(171.53969),variable(8.4872675)
98,250,1.5,Adam,3,variable(199.67584),variable(8.647231)
99,250,1.5,Adam,4,variable(197.29749),variable(8.764363)
100,250,1.5,RMSpropGraves,1,variable(207.92421),variable(8.924033)
101,250,1.5,RMSpropGraves,2,variable(209.20374),variable(9.065455)
102,250,1.5,RMSpropGraves,3,variable(190.8065),variable(8.5260105)
103,250,1.5,RMSpropGraves,4,variable(211.0298),variable(8.801725)
104,250,1.5,SMORMS3,1,variable(183.79121),variable(8.260272)
105,250,1.5,SMORMS3,2,variable(209.47188),variable(8.50439)
106,250,1.5,SMORMS3,3,variable(201.23967),variable(8.959993)
107,250,1.5,SMORMS3,4,variable(186.64594),variable(8.58512)
108,250,1.5,AMSGrad,1,variable(180.2916),variable(8.281122)
109,250,1.5,AMSGrad,2,variable(184.45),variable(8.657776)
110,250,1.5,AMSGrad,3,variable(187.24303),variable(8.535936)
111,250,1.5,AMSGrad,4,variable(206.74736),variable(8.878351)
112,250,2,Adam,1,variable(232.5251),variable(9.760905)
113,250,2,Adam,2,variable(204.65009),variable(9.185144)
114,250,2,Adam,3,variable(216.20544),variable(8.924039)
115,250,2,Adam,4,variable(186.82297),variable(8.878525)
116,250,2,RMSpropGraves,1,variable(200.45084),variable(8.62224)
117,250,2,RMSpropGraves,2,variable(205.84593),variable(8.808763)
118,250,2,RMSpropGraves,3,variable(222.73033),variable(9.207291)
119,250,2,RMSpropGraves,4,variable(210.40202),variable(9.215978)
120,250,2,SMORMS3,1,variable(212.03473),variable(9.43946)
121,250,2,SMORMS3,2,variable(193.2161),variable(8.664833)
122,250,2,SMORMS3,3,variable(167.63565),variable(8.037909)
123,250,2,SMORMS3,4,variable(203.21127),variable(8.988351)
124,250,2,AMSGrad,1,variable(191.92877),variable(8.679337)
125,250,2,AMSGrad,2,variable(215.98682),variable(9.342648)
126,250,2,AMSGrad,3,variable(192.25938),variable(8.884041)
127,250,2,AMSGrad,4,variable(210.34782),variable(9.454008)
