black,white,srand_num,black_score,white_score
corner_mi3+_in,corner_mi3+x8,623,23,41
corner_mi3+_in,corner_mi3+x8,624,38,26
corner_mi3+_in,corner_mi3+x8,625,23,41
corner_mi3+_in,corner_mi3+x8,626,34,29
corner_mi3+_in,corner_mi3+x8,627,34,30
corner_mi3+_in,corner_mi3+x8,628,18,46
corner_mi3+_in,corner_mi3+x8,629,18,46
corner_mi3+_in,corner_mi3+x8,630,9,55
corner_mi3+_in,corner_mi3+x8,631,38,26
corner_mi3+_in,corner_mi3+x8,632,19,45
corner_mi3+_in,corner_mi3+x8,633,33,31
corner_mi3+_in,corner_mi3+x8,634,37,27
corner_mi3+_in,corner_mi3+x8,635,53,11
corner_mi3+_out,corner_mi3+_in,81,30,34
corner_mi3+_out,corner_mi3+_in,82,34,30
corner_mi3+_out,corner_mi3+_in,83,37,27
corner_mi3+_out,corner_mi3+_in,84,43,21
corner_mi3+_out,corner_mi3+_in,85,41,23
corner_mi3+_out,corner_mi3+_in,86,44,20
corner_mi3+_out,corner_mi3+_in,87,33,31
corner_mi3+_out,corner_mi3+_in,88,25,39
corner_mi3+_out,corner_mi3+_in,89,30,34
corner_mi3+_out,corner_mi3+_in,90,11,53
corner_mi3+_out,corner_mi3+_in,91,24,40
corner_mi3+_out,corner_mi3+_in,92,50,14
corner_mi3+_out,corner_mi3+_in,93,17,47
corner_mi3+_out,corner_mi3+_in,94,37,27
corner_mi3+_out,corner_mi3+_in,95,37,27
corner_mi3+_out,corner_mi3+_in,96,36,28
corner_mi3+_out,corner_mi3+_in,97,19,45
corner_mi3+_out,corner_mi3+_in,98,12,52
corner_mi3+_out,corner_mi3+_in,99,45,19
corner_mi3+_out,corner_mi3+_in,100,41,23
corner_mi3+_out,corner_mi3+_in,616,17,47
corner_mi3+_out,corner_mi3+_in,617,39,25
corner_mi3+_out,corner_mi3+_in,618,32,32
corner_mi3+_out,corner_mi3+_in,619,20,44
corner_mi3+_out,corner_mi3+_in,620,22,42
corner_mi3+_out,corner_mi3+_in,621,21,43
corner_mi3+_out,corner_mi3+_in,622,27,37
corner_mi3+_out,corner_mi3+_in,623,16,48
corner_mi3+_out,corner_mi3+_in,624,30,34
corner_mi3+_out,corner_mi3+_in,625,23,41
corner_mi3+_out,corner_mi3+_in,626,49,15
corner_mi3+_out,corner_mi3+_in,627,34,30
corner_mi3+_out,corner_mi3+_in,628,20,44
corner_mi3+_out,corner_mi3+_in,629,29,35
corner_mi3+_out,corner_mi3+_in,630,17,47
corner_mi3+_out,corner_mi3+_in,631,14,50
corner_mi3+_out,corner_mi3+_in,632,22,42
corner_mi3+_out,corner_mi3+_in,633,24,40
corner_mi3+_out,corner_mi3+_in,634,60,4
corner_mi3+_out,corner_mi3+_in,635,27,37
corner_mi3+_out,corner_mi3+_out,81,26,38
corner_mi3+_out,corner_mi3+_out,82,17,47
corner_mi3+_out,corner_mi3+_out,83,46,18
corner_mi3+_out,corner_mi3+_out,84,18,46
corner_mi3+_out,corner_mi3+_out,85,23,41
corner_mi3+_out,corner_mi3+_out,86,30,34
corner_mi3+_out,corner_mi3+_out,87,27,37
corner_mi3+_out,corner_mi3+_out,88,53,11
corner_mi3+_out,corner_mi3+_out,89,39,25
corner_mi3+_out,corner_mi3+_out,90,22,42
corner_mi3+_out,corner_mi3+_out,91,31,33
corner_mi3+_out,corner_mi3+_out,92,38,26
corner_mi3+_out,corner_mi3+_out,93,28,36
corner_mi3+_out,corner_mi3+_out,94,17,47
corner_mi3+_out,corner_mi3+_out,95,51,13
corner_mi3+_out,corner_mi3+_out,96,25,39
corner_mi3+_out,corner_mi3+_out,97,33,31
corner_mi3+_out,corner_mi3+_out,98,38,26
corner_mi3+_out,corner_mi3+_out,99,35,29
corner_mi3+_out,corner_mi3+_out,100,31,33
corner_mi3+_out,corner_mi3+_out,616,32,32
corner_mi3+_out,corner_mi3+_out,617,29,35
corner_mi3+_out,corner_mi3+_out,618,24,40
corner_mi3+_out,corner_mi3+_out,619,21,43
corner_mi3+_out,corner_mi3+_out,620,45,19
corner_mi3+_out,corner_mi3+_out,621,31,33
corner_mi3+_out,corner_mi3+_out,622,15,49
corner_mi3+_out,corner_mi3+_out,623,33,31
corner_mi3+_out,corner_mi3+_out,624,30,34
corner_mi3+_out,corner_mi3+_out,625,27,37
corner_mi3+_out,corner_mi3+_out,626,35,29
corner_mi3+_out,corner_mi3+_out,627,14,50
corner_mi3+_out,corner_mi3+_out,628,41,23
corner_mi3+_out,corner_mi3+_out,629,24,40
corner_mi3+_out,corner_mi3+_out,630,16,48
corner_mi3+_out,corner_mi3+_out,631,39,25
corner_mi3+_out,corner_mi3+_out,632,28,36
corner_mi3+_out,corner_mi3+_out,633,12,52
corner_mi3+_out,corner_mi3+_out,634,16,48
corner_mi3+_out,corner_mi3+_out,635,48,16
corner_mi3+_out,corner_mi3+x8,81,35,29
corner_mi3+_out,corner_mi3+x8,82,10,54
corner_mi3+_out,corner_mi3+x8,83,13,51
corner_mi3+_out,corner_mi3+x8,84,18,46
corner_mi3+_out,corner_mi3+x8,85,41,23
corner_mi3+_out,corner_mi3+x8,86,31,33
corner_mi3+_out,corner_mi3+x8,87,34,30
corner_mi3+_out,corner_mi3+x8,88,14,50
corner_mi3+_out,corner_mi3+x8,89,54,10
corner_mi3+_out,corner_mi3+x8,90,52,12
corner_mi3+_out,corner_mi3+x8,91,25,39
corner_mi3+_out,corner_mi3+x8,92,27,37
corner_mi3+_out,corner_mi3+x8,93,31,33
corner_mi3+_out,corner_mi3+x8,94,19,45
corner_mi3+_out,corner_mi3+x8,95,28,36
corner_mi3+_out,corner_mi3+x8,96,51,13
corner_mi3+_out,corner_mi3+x8,97,32,32
corner_mi3+_out,corner_mi3+x8,98,17,47
corner_mi3+_out,corner_mi3+x8,99,12,52
corner_mi3+_out,corner_mi3+x8,100,11,51
